No.,Product,Regsion,OS,Type,Tier,Category,Instance.Series,Series.Type,CPU.Type,CPU.Core,RAM (GB),Storage (GB),Cost (US)
184,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eas v4-series,E2as v4,2,2,16,32,0.232
185,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eas v4-series,E4as v4,2,4,32,64,0.464
186,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eas v4-series,E8as v4,2,8,64,128,0.928
187,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eas v4-series,E16as v4,2,16,128,256,1.856
188,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eas v4-series,E20as v4,2,20,160,320,2.32
189,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eas v4-series,E32as v4,2,32,256,512,3.712
190,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eas v4-series,E48as v4,2,48,384,768,5.568
191,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eas v4-series,E64as v4,2,64,432,864,7.424
192,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eas v4-series,E96as v4,2,96,672,1344,11.136
193,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eds-series,E2ds v4,2,2,16,75,0.254
194,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eds-series,E4ds v4,2,4,32,150,0.508
195,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eds-series,E8ds v4,2,8,64,300,1.016
196,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eds-series,E16ds v4,2,16,128,600,2.032
197,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eds-series,E20ds v4,2,20,160,750,2.54
198,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eds-series,E32ds v4,2,32,256,1200,4.064
199,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eds-series,E48ds v4,2,48,384,1800,6.096
200,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eds-series,E64ds v4,2,64,504,2400,8.128
201,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Eds-series,E80ds v4,2,80,504,2400,10.16
202,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ed v4-series,E2d v4,2,2,16,75,0.254
203,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ed v4-series,E4d v4,2,4,32,150,0.508
204,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ed v4-series,E8d v4,2,8,64,300,1.016
205,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ed v4-series,E16d v4,2,16,128,600,2.032
206,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ed v4-series,E20d v4,2,20,160,750,2.54
207,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ed v4-series,E32d v4,2,32,256,1200,2.592
208,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ed v4-series,E48d v4,2,48,384,1800,6.096
209,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ed v4-series,E64d v4,2,64,504,2400,8.128
210,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev3-series,E2 v3,2,2,16,50,0.24
211,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev3-series,E4 v3,2,4,32,100,0.48
212,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev3-series,E8 v3,2,8,64,200,0.928
213,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev3-series,E16 v3,2,16,128,800,1.856
214,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev3-series,E20 v3,2,20,160,500,2.4
215,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev3-series,E32 v3,2,32,256,800,3.712
216,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev3-series,E48 v3,2,48,384,1200,5.568
217,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev3-series,E64i v3,2,64,432,1600,6.976
218,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev3-series,E64 v3,2,64,432,1600,6.976
219,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev4-series,E2 v4,2,2,16,0,0.232
220,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev4-series,E4 v4,2,4,32,0,0.464
221,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev4-series,E8 v4,2,8,64,0,0.928
222,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev4-series,E16 v4,2,16,128,0,1.856
223,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev4-series,E32 v4,2,32,256,0,3.712
224,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev4-series,E48 v4,2,48,384,0,5.568
225,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Ev4-series,E64 v4,2,64,504,0,7.424
226,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv3-series,E2s v3,2,2,16,32,0.24
227,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv3-series,E4s v3,2,4,32,64,0.18
228,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv3-series,E8s v3,2,8,64,128,0.928
229,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv3-series,E16s v3,2,16,128,256,1.856
230,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv3-series,E20s v3,2,20,160,320,2.4
231,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv3-series,E32s v3,2,32,256,512,3.712
232,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv3-series,E48s v3,2,48,384,768,5.568
233,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv3-series,E64is v3,2,64,432,864,6.976
234,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv3-series,E64s v3,2,64,432,864,6.976
235,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv4-series,E2s v4,2,2,16,0,0.232
236,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,Esv4-series,E4s v4,2,4,32,0,0.464
