No.,Product,Regsion,OS,Type,Tier,Category,Instance.Series,Series.Type,CPU.Type,CPU.Core,RAM (GB),Storage (GB),Cost (US)
183,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,M-series,M8ms,2,8,219,256,2.365
184,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,M-series,M16ms,2,16,438,512,4.731
185,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,M-series,M32-8ms,2,32,875,1024,9.462
186,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,M-series,M32-16ms,2,32,85,1024,9.462
187,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,M-series,M32ms,2,32,875,1024,9.462
188,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,M-series,M64MS,2,64,1792,2048,2.291
189,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,M-series,M128MS,2,128,3892,4096,40.582
190,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,M-series,M64s v2,2,64,1024,2048,11.614
191,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,M-series,M128s v2,2,128,2048,4096,23.227
192,Virtual Machine,West US,Windows,OS only,Standard,Memory optimized,M-series,M32ts,2,32,192,1024,4.488
193,Virtual Machine,West US,Windows,OS only,Standard,Storage optimized,Lsv2-series,L8s v2,2,8,64,80,1.056
194,Virtual Machine,West US,Windows,OS only,Standard,Storage optimized,Lsv2-series,L16s v2,2,16,128,160,2.112
195,Virtual Machine,West US,Windows,OS only,Standard,Storage optimized,Lsv2-series,L32s v2,2,32,256,320,4.244
196,Virtual Machine,West US,Windows,OS only,Standard,Storage optimized,Lsv2-series,L48s v2,2,48,384,480,6.336
197,Virtual Machine,West US,Windows,OS only,Standard,Storage optimized,Lsv2-series,L64s v2,2,64,512,640,8.448
198,Virtual Machine,West US,Windows,OS only,Standard,Storage optimized,Lsv2-series,L80s v2,2,80,640,800,10.56
